date,id,infections,deaths,newinfections,newdeaths
2020-02-28,136,53,0,53,0
2020-02-29,392,64,0,11,0
2020-03-01,648,127,0,63,0
2020-03-02,904,155,0,28,0
2020-03-03,1160,196,0,41,0
2020-03-04,1416,262,0,66,0
2020-03-05,1672,400,0,138,0
2020-03-06,1928,639,0,239,0
2020-03-07,2184,795,0,156,0
2020-03-08,2440,902,0,107,0
2020-03-09,2696,1139,0,237,0
2020-03-10,2952,1296,0,157,0
2020-03-11,3208,1567,0,271,0
2020-03-12,3464,2369,0,802,0
2020-03-13,3720,3062,0,693,0
2020-03-14,3976,3795,0,733,0
2020-03-15,4232,4838,0,1043,0
2020-03-16,4488,6012,0,1174,0
2020-03-17,4744,7156,12,1144,12
2020-03-18,5000,8198,12,1042,0
2020-03-19,5256,10999,20,2801,8
2020-03-20,5512,13957,31,2958,11
2020-03-21,5768,16662,47,2705,16
2020-03-22,6024,18610,55,1948,8
2020-03-23,6280,22672,86,4062,31
2020-03-24,6536,27436,114,4764,28
2020-03-25,6792,31554,149,4118,35
2020-03-26,7048,36508,198,4954,49
2020-03-27,7304,42288,253,5780,55
2020-03-28,7560,48582,325,6294,72
2020-03-29,7816,52547,389,3965,64
2020-03-30,8072,57298,455,4751,66
2020-03-31,8328,61913,583,4615,128
2020-04-01,8584,67366,732,5453,149
2020-04-02,8840,73522,872,6156,140
2020-04-03,9096,79696,1017,6174,145
2020-04-04,9352,85778,1158,6082,141
2020-04-05,9608,91714,1342,5936,184
2020-04-06,9864,95391,1434,3677,92
2020-04-07,10120,99225,1607,3834,173
2020-04-08,10376,103228,1861,4003,254
2020-04-09,10632,108202,2107,4974,246
2020-04-10,10888,113525,2373,5323,266
2020-04-11,11144,117658,2544,4133,171
2020-04-12,11400,120479,2673,2821,129
2020-04-13,11656,123016,2799,2537,126
2020-04-14,11912,125098,2969,2082,170
2020-04-15,12168,127584,3254,2486,285
2020-04-16,12424,130450,3569,2866,315
2020-04-17,12680,133830,3868,3380,299
2020-04-18,12936,137439,4110,3609,242
2020-04-19,13192,139897,4294,2458,184
2020-04-20,13448,141672,4404,1775,110
2020-04-21,13704,143457,4598,1785,194
2020-04-22,13960,145694,4879,2237,281
2020-04-23,14216,148046,5094,2352,215
2020-04-24,14472,150383,5321,2337,227
2020-04-25,14728,152438,5500,2055,179
2020-04-26,14984,154175,5640,1737,140
2020-04-27,15240,155193,5750,1018,110
2020-04-28,15496,156337,5913,1144,163
2020-04-29,15752,157641,6115,1304,202
2020-04-30,16008,159119,6288,1478,173
2020-05-01,16264,160758,6481,1639,193
2020-05-02,16520,161703,6575,945,94
2020-05-03,16776,162496,6649,793,74
2020-05-04,17032,163175,6692,679,43
2020-05-05,17288,163860,6831,685,139
2020-05-06,17544,164807,6996,947,165
2020-05-07,17800,166091,7119,1284,123
2020-05-08,18056,167300,7266,1209,147
2020-05-09,18312,168551,7369,1251,103
2020-05-10,18568,169218,7395,667,26
2020-05-11,18824,169575,7417,357,22
2020-05-12,19080,170508,7533,933,116
2020-05-13,19336,171306,7634,798,101
2020-05-14,19592,172239,7723,933,89
2020-05-15,19848,173152,7824,913,101
2020-05-16,20104,173772,7881,620,57
2020-05-17,20360,174355,7914,583,33
2020-05-18,20616,174697,7935,342,21
2020-05-19,20872,175210,8007,513,72
2020-05-20,21128,176007,8090,797,83
2020-05-21,21384,176752,8147,745,57
2020-05-22,21640,177212,8174,460,27
2020-05-23,21896,177850,8216,638,42
2020-05-24,22152,178281,8247,431,31
2020-05-25,22408,178570,8257,289,10
2020-05-26,22664,179002,8302,432,45
2020-05-27,22920,179364,8349,362,47
2020-05-28,23176,179717,8411,353,62
2020-05-29,23432,180458,8450,741,39
2020-05-30,23688,181196,8489,738,39
2020-05-31,23944,181482,8500,286,11
2020-06-01,24200,181815,8511,333,11
2020-06-02,24456,182028,8522,213,11
2020-06-03,24712,182370,8551,342,29
2020-06-04,24968,182764,8581,394,30
2020-06-05,25224,183271,8613,507,32
2020-06-06,25480,183678,8646,407,33
2020-06-07,25736,183979,8668,301,22
2020-06-08,25992,184193,8674,214,6
2020-06-09,26248,184543,8711,350,37
2020-06-10,26504,184861,8729,318,18
2020-06-11,26760,185416,8755,555,26
2020-06-12,27016,185674,8763,258,8
2020-06-13,27272,186022,8781,348,18
2020-06-14,27528,186269,8787,247,6
2020-06-15,27784,186461,8791,192,4
2020-06-16,28040,186839,8800,378,9
2020-06-17,28296,187184,8830,345,30
2020-06-18,28552,187764,8856,580,26
2020-06-19,28808,188534,8872,770,16
2020-06-20,29064,189135,8883,601,11
2020-06-21,29320,189822,8882,687,-1
2020-06-22,29576,190359,8885,537,3
2020-06-23,29832,190862,8895,503,10
2020-06-24,30088,191449,8914,587,19
2020-06-25,30344,192079,8927,630,13
2020-06-26,30600,192556,8948,477,21
2020-06-27,30856,193243,8954,687,6
2020-06-28,31112,193499,8957,256,3
2020-06-29,31368,193761,8961,262,4
